or-100-5-8-UC-60.cnf_no_p.cnf 0.71
or-100-5-9-UC-20.cnf_no_p.cnf 22.50
or-100-5-9-UC-30.cnf_no_p.cnf 0.78
or-100-5-9-UC-40.cnf_no_p.cnf 0.69
or-100-5-9-UC-50.cnf_no_p.cnf 0.69
or-100-5-9-UC-60.cnf_no_p.cnf 0.72
or-50-10-10.cnf_no_p.cnf 776.04
or-50-10-10-UC-10.cnf_no_p.cnf 1.47
or-50-10-10-UC-20.cnf_no_p.cnf 0.49
or-50-10-10-UC-30.cnf_no_p.cnf 0.60
or-50-10-10-UC-40.cnf_no_p.cnf 0.45
or-50-10-1.cnf_no_p.cnf 151.64
or-50-10-1-UC-10.cnf_no_p.cnf 25.44
or-50-10-1-UC-20.cnf_no_p.cnf 0.57
or-50-10-1-UC-30.cnf_no_p.cnf 0.39
or-50-10-1-UC-40.cnf_no_p.cnf 0.41
or-50-10-2.cnf_no_p.cnf 129.78
or-50-10-2-UC-10.cnf_no_p.cnf 1.07
or-50-10-2-UC-20.cnf_no_p.cnf 0.54
or-50-10-2-UC-30.cnf_no_p.cnf 0.55
or-50-10-2-UC-40.cnf_no_p.cnf 0.48
or-50-10-3.cnf_no_p.cnf 238.86
or-50-10-3-UC-10.cnf_no_p.cnf 4.71
or-50-10-3-UC-20.cnf_no_p.cnf 2.28
or-50-10-3-UC-30.cnf_no_p.cnf 0.61
or-50-10-3-UC-40.cnf_no_p.cnf 0.48
or-50-10-4.cnf_no_p.cnf 433.70
or-50-10-4-UC-10.cnf_no_p.cnf 17.02
or-50-10-4-UC-20.cnf_no_p.cnf 1.10
or-50-10-4-UC-30.cnf_no_p.cnf 0.63
or-50-10-4-UC-40.cnf_no_p.cnf 0.53
or-50-10-5.cnf_no_p.cnf 315.51
or-50-10-5-UC-10.cnf_no_p.cnf 5.85
or-50-10-5-UC-20.cnf_no_p.cnf 3.73
or-50-10-5-UC-30.cnf_no_p.cnf 1.36
or-50-10-5-UC-40.cnf_no_p.cnf 0.73
or-50-10-6.cnf_no_p.cnf 445.48
or-50-10-6-UC-10.cnf_no_p.cnf 7.10
or-50-10-6-UC-20.cnf_no_p.cnf 1.18
or-50-10-6-UC-30.cnf_no_p.cnf 1.03
or-50-10-6-UC-40.cnf_no_p.cnf 0.43
or-50-10-7.cnf_no_p.cnf 695.19
or-50-10-7-UC-10.cnf_no_p.cnf 116.47
or-50-10-7-UC-20.cnf_no_p.cnf 1.34
or-50-10-7-UC-30.cnf_no_p.cnf 0.46
or-50-10-7-UC-40.cnf_no_p.cnf 0.39
or-50-10-8.cnf_no_p.cnf 941.14
or-50-10-8-UC-10.cnf_no_p.cnf 0.95
or-50-10-8-UC-20.cnf_no_p.cnf 0.45
or-50-10-8-UC-30.cnf_no_p.cnf 0.47
or-50-10-8-UC-40.cnf_no_p.cnf 0.43
or-50-10-9.cnf_no_p.cnf 369.66
or-50-10-9-UC-10.cnf_no_p.cnf 9.32
or-50-10-9-UC-20.cnf_no_p.cnf 1.63
or-50-10-9-UC-30.cnf_no_p.cnf 0.61
or-50-10-9-UC-40.cnf_no_p.cnf 0.62
or-50-20-10.cnf_no_p.cnf 650.16
or-50-20-10-UC-10.cnf_no_p.cnf 6.04
or-50-20-10-UC-20.cnf_no_p.cnf 2.93
or-50-20-10-UC-30.cnf_no_p.cnf 1.14
or-50-20-10-UC-40.cnf_no_p.cnf 0.66
or-50-20-1.cnf_no_p.cnf 355.18
or-50-20-1-UC-10.cnf_no_p.cnf 117.65
or-50-20-1-UC-20.cnf_no_p.cnf 3.16
